Radionuclide;Mass[g]
54Mn;0.0000000125
58Co;0.00000001875
60Co;0.00000003125
59Fe;0.00000000625
51Cr;0.000000025
57Co;0.0000000125
65Zn;0.00000000625
55Fe;0.0000000125
56Mn;0.00000001875
22Na;0.00000000625
