Radionuclide;Mass[g]
54Mn;0.00000001
58Co;0.000000015
60Co;0.000000025
59Fe;0.000000005
51Cr;0.00000002
57Co;0.00000001
65Zn;0.000000005
55Fe;0.00000001
56Mn;0.000000015
22Na;0.000000005
